"top_story_topic_annotation","freq","prob"
"Web Browsers & Plugins",13,0.065989847715736
"Tool UI, Automation & Devops",8,0.0406091370558376
"Github & New OSS",7,0.0355329949238579
"Hiring & Careers",6,0.0304568527918782
"Math & CS",6,0.0304568527918782
"Noisy Topic D",6,0.0304568527918782
"Self Improvement",6,0.0304568527918782
"Software Usability & User Interfaces",6,0.0304568527918782
"Apple Corp.",5,0.0253807106598985
"Facebook Privacy Concerns",5,0.0253807106598985
